BCHAIN-ATRCT,BCHAIN-MWNUS,BCHAIN-DIFF,BCHAIN-MWNTD,BCHAIN-MWTRV,BCHAIN-AVBLS,BCHAIN-ETRAV,BCHAIN-BLCHS,BCHAIN-TOUTV,BCHAIN-NADDU,BCHAIN-NTRBL,BCHAIN-NTREP,BCHAIN-HRATE,BCHAIN-MIREV,BCHAIN-NTRAT,BCHAIN-CPTRA,BCHAIN-TRVOU,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-TRFUS,BCHAIN-NTRAN,BCHAIN-TRFEE,BCHAIN-TOTBC,BCHAIN-MKTCP,BCHAIN-MKPRU
8.466666667,23222305,2.96785E+12,45657,59724.41292,1.010840262,130404.456,157664.9963,1268017.879,455116,1407.48227,191891,21079198.67,20189469.23,300576632,104.1570821,1258473016,1.391617113,1485357828,594928.4233,198455,52.23072575,16876825,1.92234E+11,11390.39167
8.416666667,23195311,2.87467E+12,42648,62487.0405,1.006584074,103474.2702,157522.4679,1789525.591,436341,1156.58642,181922,23149934.67,22566369.92,300378177,123.10248,1020588579,2.006207057,1149698995,565638.2495,187367,50.9081119,16875062.5,1.87498E+11,11110.965
6.966666667,23173715,2.87467E+12,32328,40629.60181,0.972766673,79660.08198,157359.4012,1639023.581,378869,984.537037,153951,23149934.67,21269179.13,300190810,136.2892293,1377347061,2.598018015,836693606.2,468271.499,159495,44.58328081,16873037.5,1.77223E+11,10503.29833
7.933333333,23146460,2.87467E+12,35640,34855.81385,0.973017181,80893.89618,157201.813,1473900.19,401860,1166.369128,167847,21292223.86,20236577.45,300031315,119.2282046,973554319.9,2.362525288,877050948.2,527340.9642,173789,48.63875388,16871012.5,1.82915E+11,10841.99167
6.616666667,23129454,2.87467E+12,39807,60534.47221,0.989634395,106729.749,157056.8335,1102895.659,422415,1195.783439,180685,22435430.51,19925190.58,299857526,109.0058176,866501985.7,1.893340098,1080869423,589979.4188,187738,58.25713445,16869150,1.70837E+11,10127.16167
8.483333333,23102227,2.87467E+12,43135,68822.86329,1.063894962,129180.3611,156901.4609,1418774.184,475029,1512.847328,194351,18720008.9,16527155.6,299669788,85.66287851,1282426211,1.317212648,1288852356,639336.577,198183,64.08005499,16867187.5,1.68287E+11,9977.154
10.225,23078366,2.87467E+12,42611,74825.77501,1.015834832,148097.5031,156762.0906,1557016.979,450367,1097.301676,192621,25579248.8,20951584.52,299471605,109.3663177,915165499.8,1.553880667,1382435889,595161.9324,196417,63.75846926,16865550,1.57434E+11,9334.633333
11.05,23051069,2.87467E+12,39126,75282.93837,1.032956159,146929.3458,156580.2562,1315762.899,414749,1115.756098,179616,23435736.33,17728596.59,299275188,99.54422387,188454378.6,1.44189933,1263264354,589576.8853,182984,68.57325292,16863312.5,1.44987E+11,8597.7675
10.2,23038728,2.87467E+12,41634,61562.04055,1.04129159,181029.6541,156410.8514,1674741.825,437380,1126.012048,183345,23721537.99,18398084.88,299092204,101.1142028,836623674.3,1.184872015,1595114436,616527.146,186918,69.96971094,16861262.5,1.4857E+11,8811.343333
7.533333333,23009162,2.87467E+12,27976,34888.34109,1.006919152,85791.95132,156237.997,1398605.054,368624,974.8874172,144165,21578025.52,15831705.86,298905286,110.4917533,796391653.7,2.272316404,715801285.2,516998.7139,147208,61.96458348,16859187.5,1.40664E+11,8343.455
9.45,22991753,2.87467E+12,34213,43134.40445,1.034792427,116211.0486,156085.9522,1537986.4,421547,1271.20979,177603,20434818.87,15154655.17,298758078,85.87463218,918540174.5,1.614558752,966861580.2,738768.899,181783,88.79565618,16857300,1.40251E+11,8319.876566
12.2,22967493,2.87467E+12,34678,62602.00477,1.076192548,199472.8309,155937.9769,1144162.672,462086,1317.481481,173698,19291612.22,14685356.43,298576295,85.22387785,1093134650,0.890278763,1702603673,754234.5391,177860,88.36425123,16855512.5,1.43871E+11,8535.516667
13.675,22946498,2.87467E+12,35811,84370.09278,1.048305229,214089.8269,155792.6909,1171509.554,398607,1322.816794,166517,18720008.9,13782297.58,298398435,82.05323158,1336661911,0.805963099,1764215069,725043.6556,173289,87.98500449,16853825,1.38885E+11,8240.536667
8.866666667,22919253,2.87467E+12,40090,77775.58722,1.07172239,208207.3317,155655.3629,1160111.912,489402,1515.737589,205988,20149017.21,14762174.06,298225146,71.48027201,1670287564,0.905837982,1686470712,1000515.69,213719,123.521091,16852187.5,1.36502E+11,8099.958333
